ID,Style,Artwork,Artist,Date,Link
78750,Abstract-Expressionism,Blue Green Ground,John Ferren,1961,https://uploads4.wikiart.org/images/john-ferren/blue-green-ground-1961.jpg
78751,Abstract-Expressionism,One World,John Ferren,1961,https://uploads5.wikiart.org/images/john-ferren/one-world-1961.jpg
78752,Abstract-Expressionism,Untitled,John Ferren,1961,https://uploads4.wikiart.org/images/john-ferren/untitled-1961.jpg
78753,Abstract-Expressionism,Untitled,Robert Nickle,1961,https://uploads6.wikiart.org/images/robert-nickle/untitled-1961.jpg
78754,Abstract-Expressionism,Untitled,Atsuko Tanaka,1961,https://uploads6.wikiart.org/images/atsuko-tanaka/untitled-1961.jpg
78755,Abstract-Expressionism,Hydrogen,Milton Resnick,1961,https://uploads7.wikiart.org/images/milton-resnick/hydrogen-1961.jpg
78756,Abstract-Expressionism,Nightfall,Jack Tworkov,1961,https://uploads6.wikiart.org/images/jack-tworkov/nightfall-1961.jpg
78757,Abstract-Expressionism,RWB #2,Jack Tworkov,1961,https://uploads2.wikiart.org/images/jack-tworkov/rwb-2-1961.jpg
78758,Abstract-Expressionism,Untitled (Triptych),Taro Yamamoto,1961,https://uploads6.wikiart.org/images/taro-yamamoto/untitled-triptych-1961.jpg
78759,Abstract-Expressionism,Untitled,Taro Yamamoto,1961,https://uploads6.wikiart.org/images/taro-yamamoto/untitled-1961.jpg
78760,Abstract-Expressionism,"White, Sand and Ochre",William Scott,1961,https://uploads0.wikiart.org/images/william-scott/white-sand-and-ochre-1961.jpg
78761,Abstract-Expressionism,Cap d'Ail,Conrad Marca-Relli,1961,https://uploads3.wikiart.org/images/conrad-marca-relli/cap-d-ail-1961.jpg
78762,Abstract-Expressionism,Taos #2,Conrad Marca-Relli,1961,https://uploads0.wikiart.org/images/conrad-marca-relli/taos-2-1961.jpg
78763,Abstract-Expressionism,Open Window,Moshe Kupferman,1961,https://uploads2.wikiart.org/images/moshe-kupferman/open-window-1961.jpg
78764,Abstract-Expressionism,Love Letter #2,Richards Ruben,1961,https://uploads3.wikiart.org/images/richards-ruben/love-letter-2-1961.jpg
78765,Abstract-Expressionism,Panatella,Richard Smith,1961,https://uploads7.wikiart.org/images/richard-smith/panatella-1961.jpg
